Group,Participant,LexTALE,CFT,ClozeTest,ClozeTestP
German,101,68.75,27,20,71.42857143
German,103,90,29,20,71.42857143
German,105,70,40,20,71.42857143
German,106,95,27,20,71.42857143
German,109,83.75,29,20,71.42857143
German,110,82.5,37,20,71.42857143
German,111,75,33,20,71.42857143
German,112,77.5,37,27,96.42857143
German,113,85,29,20,71.42857143
German,114,88.75,45,27,96.42857143
German,115,88.75,29,22,78.57142857
German,116,78.25,39,20,71.42857143
German,117,90,35,20,71.42857143
German,118,88.75,41,25,89.28571429
German,119,91.75,42,20,71.42857143
German,120,97.5,33,23,82.14285714
German,122,97.5,44,22,78.57142857
German,124,87.5,28,20,71.42857143
German,125,70,31,20,71.42857143
German,126,88.75,41,22,78.57142857
German,127,72.5,31,22,78.57142857
German,128,70,33,21,75
German,129,88,32,22,78.57142857
German,132,76.25,35,24,85.71428571
Spanish,301,68.75,37,21,75
Spanish,302,67.5,25,22,78.57142857
Spanish,303,68.75,44,25,89.28571429
Spanish,304,68.75,43,21,75
Spanish,305,66.25,28,22,78.57142857
Spanish,306,78.75,39,24,85.71428571
Spanish,307,62.5,42,25,89.28571429
Spanish,308,82.5,27,23,82.14285714
Spanish,309,73.75,32,20,71.42857143
Spanish,310,76.25,29,19,67.85714286
Spanish,312,70,33,22,78.57142857
Spanish,315,65,25,19,67.85714286
Spanish,316,71.25,24,25,89.28571429
Spanish,318,71.25,43,21,75
Spanish,319,76.25,34,19,67.85714286
Spanish,320,67.5,44,22,78.57142857
Spanish,321,71.25,28,24,85.71428571
Spanish,322,67.5,31,19,67.85714286
Spanish,323,75,47,26,92.85714286
Spanish,324,86.25,22,24,85.71428571
Spanish,326,81.25,26,23,82.14285714
Spanish,327,67.5,25,21,75
Spanish,328,76.25,42,22,78.57142857
Croatian,201,82.5,34,24,85.71428571
Croatian,202,77.5,30,23,82.14285714
Croatian,203,77.5,31,24,85.71428571
Croatian,204,91.25,38,23,82.14285714
Croatian,205,77.5,44,27,96.42857143
Croatian,206,96.25,37,24,85.71428571
Croatian,207,75,31,26,92.85714286
Croatian,209,91.25,37,28,100
Croatian,210,93.75,33,26,92.85714286
Croatian,211,78.75,28,21,75
Croatian,212,87.5,36,24,85.71428571
Croatian,213,80,28,23,82.14285714
Croatian,214,83.75,40,21,75
Croatian,215,87.5,34,23,82.14285714
Croatian,216,85,37,26,92.85714286
Croatian,217,82.5,42,24,85.71428571
Croatian,219,70,24,23,82.14285714
Croatian,220,82.5,25,21,75
Croatian,221,91.25,43,27,96.42857143
Croatian,222,87.5,50,26,92.85714286
Croatian,223,88.75,24,22,78.57142857
Croatian,224,95,26,26,92.85714286
Croatian,225,97.5,29,26,92.85714286
Croatian,226,91.25,39,27,96.42857143
Croatian,227,71.25,22,23,82.14285714
Croatian,228,77.5,26,27,96.42857143
Croatian,229,92.5,42,25,89.28571429
Croatian,230,87.5,34,27,96.42857143
Croatian,231,91.25,31,27,96.42857143
Croatian,232,85,32,25,89.28571429
Croatian,233,78.75,39,24,85.71428571
Croatian,234,85,40,27,96.42857143
Croatian,235,75,51,21,75
Croatian,236,70,32,22,78.57142857
Croatian,237,80,33,27,96.42857143
Croatian,239,91.25,39,26,92.85714286
Croatian,240,95,29,22,78.57142857
Croatian,241,70,19,21,75
Croatian,242,68.75,30,22,78.57142857
Croatian,243,91.25,37,22,78.57142857